epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,604.88,0.6257,0.32368,0.92051,0.97724,0.99301,0.98632,0.81386,0.76983,0.32116,0.95608,0.0002575,0.0002575,0.0002575
77,612.677,0.60867,0.31738,0.91139,0.98041,0.99301,0.9867,0.81466,0.76126,0.31315,0.95323,0.0002476,0.0002476,0.0002476
78,620.5,0.61963,0.32713,0.91719,0.97857,0.99149,0.98667,0.82012,0.75546,0.31064,0.9506,0.0002377,0.0002377,0.0002377
79,628.276,0.60603,0.31023,0.91583,0.97977,0.99145,0.98689,0.81488,0.76461,0.30679,0.95158,0.0002278,0.0002278,0.0002278
80,636.812,0.59443,0.30805,0.90726,0.97745,0.98745,0.98139,0.81842,0.75136,0.31518,0.94845,0.0002179,0.0002179,0.0002179
81,645.485,0.60822,0.31976,0.91427,0.97219,0.9849,0.98211,0.81127,0.76313,0.33288,0.95356,0.000208,0.000208,0.000208
82,655.33,0.59803,0.30693,0.91258,0.97606,0.98916,0.98568,0.81661,0.76844,0.31123,0.95818,0.0001981,0.0001981,0.0001981
83,663.877,0.59285,0.30602,0.91317,0.9737,0.99167,0.98485,0.80994,0.76946,0.31021,0.95677,0.0001882,0.0001882,0.0001882
84,671.851,0.59695,0.3071,0.91159,0.9783,0.99301,0.98355,0.81656,0.76342,0.31188,0.95808,0.0001783,0.0001783,0.0001783
85,679.891,0.5948,0.30707,0.90961,0.97822,0.99216,0.98598,0.81635,0.76457,0.31104,0.95573,0.0001684,0.0001684,0.0001684
86,687.86,0.59443,0.30393,0.90638,0.97641,0.99301,0.98572,0.81899,0.76682,0.30742,0.95888,0.0001585,0.0001585,0.0001585
87,696.118,0.58264,0.29814,0.90624,0.98142,0.99301,0.98554,0.81314,0.7548,0.29489,0.95259,0.0001486,0.0001486,0.0001486
88,704.409,0.59165,0.30856,0.91054,0.96302,0.99023,0.98291,0.81659,0.76026,0.31465,0.95654,0.0001387,0.0001387,0.0001387
89,714.866,0.5783,0.30051,0.90251,0.96666,0.9901,0.98417,0.81156,0.77158,0.31912,0.95811,0.0001288,0.0001288,0.0001288
90,722.694,0.59655,0.30741,0.90859,0.97935,0.98329,0.98497,0.81679,0.76135,0.30845,0.95472,0.0001189,0.0001189,0.0001189
91,740.975,0.50811,0.24473,0.87788,0.98247,0.98164,0.98579,0.8107,0.76261,0.30424,0.95598,0.000109,0.000109,0.000109
92,748.505,0.50082,0.23863,0.87731,0.97447,0.99164,0.98495,0.81212,0.76395,0.30734,0.95867,9.91e-05,9.91e-05,9.91e-05
93,756.143,0.50223,0.23824,0.8763,0.97363,0.99166,0.98551,0.81852,0.76676,0.30901,0.95711,8.92e-05,8.92e-05,8.92e-05
94,764.367,0.50248,0.23797,0.87712,0.97462,0.99023,0.98226,0.81944,0.76225,0.30457,0.95819,7.93e-05,7.93e-05,7.93e-05
95,774.374,0.49855,0.23551,0.87172,0.98007,0.99023,0.98375,0.81714,0.7696,0.30338,0.96085,6.94e-05,6.94e-05,6.94e-05
96,782.048,0.48354,0.23245,0.86942,0.97991,0.99095,0.98465,0.81633,0.77162,0.30338,0.96254,5.95e-05,5.95e-05,5.95e-05
97,789.81,0.48842,0.2318,0.86566,0.97749,0.99065,0.98585,0.81745,0.775,0.3045,0.96432,4.96e-05,4.96e-05,4.96e-05
98,797.614,0.48313,0.2304,0.86801,0.97699,0.99232,0.98655,0.81788,0.77517,0.29969,0.96323,3.97e-05,3.97e-05,3.97e-05
